|0000|008|1|01062014|30062014|KEMIRA CHEMICALS BRASIL LTDA|03944724000696||SP|336568073111|3518800|195946||A|0|
|0001|0|
|0005|KEMIRA|07215040|ESTRADA: MUNICIPAL,|1156||Guarulhos|01134780846|01134780846||
|0100|JORGE ERLAN FRANCK MONTANO|21525259814|1SP219786O7|03944724000696|07215040|Estrada Municipal 1156 sala 3|||Guarulhos|1121894936|1121894900|michele.almeida@kemira.com|3550308|
|0150|C0000151604|I&M Papeis E Embalagens Ltda.|1058|07277575000103||622071573110|3547601||Pavimentacao Asfaltica|322||ZonaRural|
|0150|C0000151741|Mineracao Turmalina Ltda.|1058|01731616000103||1763169040000|3117603||Fazenda Sa Tinoco|S/N||ZonaRural|
|0150|C0000151960|Schweitzer - Mauduit Brasil S.A.|1058|33073008000137||80446527|3304003||Av. Darcy Vargas|325||Santanesia|
|0150|C0000107242|Arjo Wiggins Ltda|1058|45943370000109||600009411119|3545209||Rodovia Salto-Itu|30||PortoGoes|
|0150|V0000342694|Transportes Toniato Ltda.|1058|29291184000682||336151553115|3518800||Estrada Municipal|1156||JardimSantoAfonso|
|0150|C0000151576|Ge Water & Process Technologies Do Brasil Ltda.|1058|01009681000383||669313262110|3552205||Avenida Parana|4900||CajuruDoSul|
|0150|C0000153061|Tremembe Industrias Quimicas Ltda|1058|66805425000186||695008524115|3554805||Rua Maria Do Carmo Ribeiro|705||Centro|
|0150|C0000152026|Suzano Papel E Celulose S.A.|1058|16404287015691||417265770113|3526902||Estrada Do Lageado|S/N||Lageado|
|0150|VNL2109|Kemira Oyj c/o Vertellus Specialties UK Ltd.|6289||||||Seal Sands Road||||
|0150|VNL2103|Kemira Oyj, Bradford|6289||||||Bowling Park Drive||||
|0150|C0000152059|Trombini Embalagens S.A.|1058|11252642000870||255988125|4205506||Avenida Cacador|93||Centro|
|0150|C0000151693|Lumen Quimica Ltda.|1058|65865057000107||591002673112|3544301||Rodovia SP 62|196||DistritoIndustrialII|
|0150|C0000156036|CBA Minerva Color Brasil Quimica Lt|1058|57645665000170||255087980113|3510609||Rua Novo Hamburgo|251||VilaSulAmericana|
|0150|C0000151565|Foz De Limeira S.A.|1058|00585900000148||417129983118|3526902||Rua Tiradentes|943||Centro|
|0150|C0000151355|Cartonificio Valinhos S.A.|1058|45992476000194||708000292116|3556206||Rua Doze De Outubro|20||VlSantana|
|0150|V0000346268|Usiquimica do Brasil Ltda|1058|60755519000101||336717548117|3518800||Rua da Lagoa|431||CidadeIndl.SatÈlite|
|0150|C0000151954|Sanovo Greenpack Emb. Do Brasl Ltda|1058|61585931004776||669138600118|3552205||Rua Paulo Varchavtchic|431||Aparecidinha|
|0150|C0000151804|Pedra Agroindustrial S.A.|1058|71304687001845||231001604119|3508207||Fazenda Sao Luiz Da Esplanada|S/N||ZonaRural|
|0150|C0000151084|Usina Delta S.A.|1058|13537735000281||0017624660180|3117306||Rodovia MG 427|S/N||FazCachoeiro|
|0150|C0000151953|Sanovo Greenpack Emb. Do Brasl Ltda|1058|61585931000355||0016392120092|3143302||Rua H Andersen|311||DistritoIndustrial|
|0150|C0000157676|Integra Offshore Ltda|1058|15837634000170||79783250|3304557||AV RIO BRANCO|181||CENTRO|
|0150|C0000151778|Oji Papeis Especiais Ltda.|1058|11547756000171||535268272110|3538709||Via Comendador Pedro Morganti|3393||MonteAlegre|
|0150|VAT1101|Kemira Oyj, Krems|728||||||Hafenstrasse 77||||
|0150|C0000123332|Henkel Ltda|1058|02777131000610||286048259116|3513801||Rua Karl Huller|136||JardimCanhema|
|0150|C0000153456|JBS S.A.|1058|02916265015000||283600144|5005707||Rod Navirai/Itaquirai, Km 02|S/N||ZONARURAL|
|0150|V0000343620|BBM Servicos E Transportes Ltda|1058|01107327000987||492554298114|3534401||R Arinos,|650|||
|0150|V0000346349|Theiar Transportes E Logistica Ltda - Me|1058|04666265000346||146355530113|3550308||Rua Osaka|1000|||
|0150|V0000343638|Rota Certa Transportes Rodoviario Ltda - ME|1058|09508955000129||336841114119|3518800||Rua Buriti Bravo,|586||JARDIMNOVOPORTUGAL|
|0150|C0000151250|Arch Quimica Brasil Ltda.|1058|43677178000184||600025189112|3545209||Avenida Brasilia|1500||Buru|
|0150|C0000151377|Champion Tec Brasil Serv Prod Quimi|1058|07379735000117||78008342|3302403||Rua R6|21||NovoCavaleiros|
|0150|C0000151781|Omni-Tech Com E Rep De Prod Quim Lt|1058|04945379000163||468063943110|3532009||Rua Jaquim Serafim|445||SaoBenedito|
